editTopo.py edits file version 1
#
# This file can be used as an argument for editTopo.py --apply
#
# created: Sun Sep  6 11:41:01 2020
# by: aek156
# via: ./topogtools/editTopo.py --ref /g/data/ik11/inputs/access-om2/input_20200530/mom_025deg/topog.nc topog_new_deseas_partialcell_mindepth_masked_fixnonadvective.nc
#
# These edits fill in the enclosed Sulu Sea basin up to the sill depth of 503m, by copying data from previous topography
# /g/data/ik11/inputs/access-om2/input_20200530/mom_025deg/topog.nc
# see https://github.com/COSIMA/access-om2/issues/158#issuecomment-698758041
#
# There are additional edits below in the Denmark Strait, Faroe Bank channel, Nares Strait and Caribbean Sea
# - search for "created" to find these.
#
#   i    j  old                 new
  162  534  1529.949462890625   503.0520935058594
  162  533  2515.146728515625   503.0520935058594
  162  532  2882.510009765625   503.0520935058594
  162  531  3687.28271484375    503.0520935058594
  162  530  3937.10888671875    503.0520935058594
  162  529  4267.20361328125    503.0520935058594
  162  528  4178.86669921875    503.0520935058594
  162  527  4267.20361328125    503.0520935058594
  162  526  4267.20361328125    503.0520935058594
  162  525  3937.44775390625    503.0520935058594
  163  525  3182.686767578125   503.0520935058594
  163  526  4267.20361328125    503.0520935058594
  163  527  4267.20361328125    503.0520935058594
  163  528  4267.20361328125    503.0520935058594
  163  529  4267.20361328125    503.0520935058594
  163  530  4178.18017578125    503.0520935058594
  163  531  4138.9736328125     503.0520935058594
  163  532  3771.19677734375    503.0520935058594
  163  533  3489.2978515625     503.0520935058594
  163  534  3021.320556640625   503.0520935058594
  162  535  1506.4622802734375  503.0520935058594
  161  536  1407.994384765625   503.0520935058594
  163  535  1317.2537841796875  503.0520935058594
  163  536  1279.462646484375   503.0520935058594
  163  537  1407.994384765625   503.0520935058594
  163  538  1247.3297119140625  503.0520935058594
  164  538  1247.3297119140625  503.0520935058594
  164  537  1129.537841796875   503.0520935058594
  164  536  886.5921630859375   503.0520935058594
  164  535  3131.830078125      503.0520935058594
  164  534  3613.85693359375    503.0520935058594
  164  533  3597.296875         503.0520935058594
  164  532  4253.48876953125    503.0520935058594
  164  531  4267.20361328125    503.0520935058594
  164  530  4267.20361328125    503.0520935058594
  164  529  4310.95947265625    503.0520935058594
  164  528  4407.556640625      503.0520935058594
  164  527  4485.98193359375    503.0520935058594
  165  527  4485.98193359375    503.0520935058594
  165  528  4485.98193359375    503.0520935058594
  165  529  4485.98193359375    503.0520935058594
  165  530  4186.724609375      503.0520935058594
  165  531  4094.683837890625   503.0520935058594
  165  532  4267.20361328125    503.0520935058594
  165  533  3874.55712890625    503.0520935058594
  165  534  3895.79541015625    503.0520935058594
  165  535  3667.41455078125    503.0520935058594
  165  536  1710.5352783203125  503.0520935058594
  165  537  519.5255737304688   339.7750244140625
  165  538  862.50732421875     503.0520935058594
  166  539  961.63916015625     503.0520935058594
  166  538  2143.664794921875   503.0520935058594
  166  537  2904.239013671875   503.0520935058594
  166  536  4048.8291015625     503.0520935058594
  166  535  4048.8291015625     503.0520935058594
  166  534  4485.98193359375    503.0520935058594
  166  533  4705.06396484375    503.0520935058594
  166  532  4644.30322265625    503.0520935058594
  166  531  4485.98193359375    503.0520935058594
  166  530  4267.20361328125    503.0520935058594
  166  529  4485.98193359375    503.0520935058594
  166  528  4485.98193359375    503.0520935058594
  167  529  3573.694580078125   503.0520935058594
  167  530  4048.8291015625     503.0520935058594
  167  531  4435.76904296875    503.0520935058594
  167  532  4705.06396484375    503.0520935058594
  167  533  4705.06396484375    503.0520935058594
  167  534  4310.95947265625    503.0520935058594
  167  535  4008.807861328125   503.0520935058594
  167  536  3929.2861328125     503.0520935058594
  167  537  2969.3232421875     503.0520935058594
  167  538  2143.664794921875   503.0520935058594
  167  539  950.2531127929688   503.0520935058594
  168  535  3345.453369140625   503.0520935058594
  168  534  3891.75048828125    503.0520935058594
  168  533  4267.20361328125    503.0520935058594
  168  532  4138.00244140625    503.0520935058594
  169  532  4112.18994140625    503.0520935058594
  169  533  4248.8212890625     503.0520935058594
  169  534  2718.849365234375   503.0520935058594
  170  534  2385.406005859375   503.0520935058594
  170  533  3994.23779296875    503.0520935058594
  170  532  4044.638916015625   503.0520935058594
#
# created: Mon Nov  2 14:05:00 2020
# by: aek156
# via: /g/data/ik11/inputs/access-om2/bin/editTopo.py --ref /g/data/ik11/inputs/access-om2/input_20200530/mom_025deg/topog.nc topog.nc
#
# These edits deepen the Denmark Strait, by copying data from previous topography
# /g/data/ik11/inputs/access-om2/input_20200530/mom_025deg/topog.nc
# see https://github.com/COSIMA/access-om2/issues/158#issuecomment-719225807
#
#    i    j  old                 new
  1017   856  353.6620788574219   619.9000244140625
  1016   856  509.6076965332031   619.9000244140625
  1016   855  353.7472229003906   619.9000244140625
  1015   856  603.4819946289062   619.9000244140625
